site,rate,SE,df,asymp.LCL,asymp.UCL,days,orders_hat,rate_hat,rate_lcl,rate_ucl
Bing,2.061153622438541e-10,8.70778986190633e-6,Inf,2.220446049250313e-16,Inf,38,2.061153622438541e-10,5.424088480101424e-12,5.843279076974508e-18,Inf
Instagram,12.999999999999995,3.6055469773093662,Inf,7.5485372447235175,22.388443551514843,38,12.999999999999995,0.3421052631578946,0.19864571696640834,0.5891695671451275
Jack'd,125.00000000000016,11.180434515925123,Inf,104.90002413101804,148.95134800431245,38,125.00000000000016,3.2894736842105305,2.7605269508162644,3.9197723159029594
