contrast,ratio,SE,df,null,z.ratio,p.value
Facebook / Google,0.7647058823529412,0.2817467540858036,Inf,1,-0.7281114887659976,0.46654534158429145
Facebook / Grindr,1.444444444444444,0.626353130168952,Inf,1,0.8480168616596434,0.46654534158429145
Google / Grindr,1.8888888888888882,0.7786591121621638,Inf,1,1.5427959374671292,0.3686408864833724
