contrast,ratio,SE,df,null,z.ratio,p.value
Bing / Instagram,1.585502786491186e-11,6.698299893918447e-7,Inf,1,-5.886201840583482e-4,0.9995303490700832
Bing / Jack'd,1.6489228979508305e-12,6.966231889540668e-8,Inf,1,-6.421945326056734e-4,0.9995303490700832
Instagram / Jack'd,0.10399999999999981,0.03030721829992153,Inf,1,-7.766793150529711,2.4149442327639717e-14
