var,likert,p_value,n_nonmiss
q7_2_4_fu20,TRUE,0.5474819659085242,58
q7_2_6_fu21,TRUE,0.5525863964005737,74
q86_10_fu21,TRUE,0.5562036564076376,72
q86_2_fu21,TRUE,0.5711686888873972,72
q7_12_fu1,TRUE,0.5775608637107943,155
q8_2_1_fu1,TRUE,0.5783836737748164,153
q8_1_7_fu1,TRUE,0.5788767490375935,151
q86_1_fu20,TRUE,0.5840169615743303,57
q7_2_7_fu20,TRUE,0.5850977244120428,58
q7_1_10_fu21,TRUE,0.5892163300097019,73
q7_1_2_fu21,TRUE,0.5949019750947601,74
q7_2_3_fu20,TRUE,0.5999328554010368,58
q7_2_5_fu20,TRUE,0.6039614313635178,58
q7_1_12_fu21,TRUE,0.608460545800557,73
q14_2,TRUE,0.6129395243313069,254
q7_5_fu1,TRUE,0.613261028267603,159
q7_1_12_fu20,TRUE,0.6196240836232292,58
q6_16_fu20,TRUE,0.6221828828308972,58
q13_15,TRUE,0.6270814837201883,253
q13_18,TRUE,0.6333892050544496,254
q16_7,TRUE,0.6383790250199924,251
q13_22,TRUE,0.6450409221943076,254
q86_7_fu20,TRUE,0.651444315448337,57
q13_21,TRUE,0.6539011593777789,254
q6_18_fu20,TRUE,0.6539195452316956,58
q13_19,TRUE,0.6552559768773145,254
q8_2_8_fu1,TRUE,0.6774335161103228,151
q8_1_4_fu1,TRUE,0.6887536274729932,153
q6_7_fu20,TRUE,0.7100296299303005,59
q6_3_fu20,TRUE,0.7169809142880972,59
q6_13_fu20,TRUE,0.7178491708202195,58
q3_1_fu1,TRUE,0.719382268675706,164
q6_5_fu20,TRUE,0.7251565858010098,59
q6_2_fu20,TRUE,0.731282755165616,59
q9_5,TRUE,0.7370270317602718,39
q80_fu21,TRUE,0.7406021142010405,75
q8_2_5_fu1,TRUE,0.7471087514103845,152
q8_1_5_fu1,TRUE,0.7471844287312758,151
q3_2_fu1,TRUE,0.7487870067074791,164
q86_10_fu20,TRUE,0.7506440267573428,57
q86_2_fu20,TRUE,0.7511854947923903,57
q6_17_fu20,TRUE,0.7649310590798087,58
q86_8_fu20,TRUE,0.7653023397777606,57
q7_19_fu1,TRUE,0.7662114604445663,155
q94_11,TRUE,0.7671975903080437,174
q8_1_11_fu1,TRUE,0.7691790648417784,152
q86_4_fu21,TRUE,0.7746573804065464,72
q6_8_fu20,TRUE,0.7809123105574602,59
q15_1,TRUE,0.7890220939904304,254
q7_2_8_fu20,TRUE,0.7958336620077014,58
q7_1_4_fu21,TRUE,0.7989807529979891,74
q8_1_9_fu1,TRUE,0.8012154651832318,151
q6_19_fu20,TRUE,0.8105917078293933,58
q8_2_4_fu1,TRUE,0.8121398595605416,151
q6_12_fu20,TRUE,0.8216497963122273,58
q7_8_fu1,TRUE,0.8296794318360313,158
q7_13_fu1,TRUE,0.8335227843953743,155
q6_11_fu20,TRUE,0.8403354429050542,58
q5_6_fu1,TRUE,0.8436054184799344,163
q7_2_2_fu20,TRUE,0.8474121480217595,58
q7_6_fu1,TRUE,0.8514615807340856,159
q8_1_8_fu1,TRUE,0.8517422870219924,152
q7_9_fu1,TRUE,0.8647932513692037,156
q8_2_6_fu1,TRUE,0.8729354596345996,152
q86_5_fu21,TRUE,0.8753798598997532,72
q6_6_fu20,TRUE,0.879246656745007,59
q86_13_fu20,TRUE,0.8837051923733298,57
q81_fu20,TRUE,0.8847696393616488,50
q7_2_8_fu21,TRUE,0.8858269653405494,74
q41_fu20,TRUE,0.8893421065224938,62
q10_1_fu20,TRUE,0.8893421065224938,62
q7_1_7_fu21,TRUE,0.8932913947940828,73
q8_1_6_fu1,TRUE,0.9135487178653308,151
q86_1_fu21,TRUE,0.9208541771674473,72
q7_1_6_fu21,TRUE,0.9215215003210728,74
q7_1_8_fu21,TRUE,0.9265947536052672,72
q11_3,TRUE,0.9491866324808963,254
q7_1_11_fu20,TRUE,0.9507390742869867,58
q7_7_fu1,TRUE,0.9551380594702962,159
q7_1_9_fu20,TRUE,0.9577976041048871,58
q80_fu20,TRUE,0.9624080796459293,58
q16_6,TRUE,0.9646493069057367,253
q94_9,TRUE,0.9706713399864376,182
q7_1_5_fu21,TRUE,0.977645268506249,74
q42_fu20,TRUE,0.9778193218774605,62
q5_1_fu1,TRUE,0.9882569639561707,163
q5_5_fu1,TRUE,0.9891701175827,163
q7_1_1_fu20,TRUE,0.9930228883460246,58
q5_2_fu1,TRUE,0.9945858462950298,163
